geneID,transcript_id,class,condition,qc_fail,fA,fU,fG,fC,au_content,gc_content,mrna_length,di_AA,di_AU,di_AG,di_AC,di_UA,di_UU,di_UG,di_UC,di_GA,di_GU,di_GG,di_GC,di_CA,di_CU,di_CG,di_CC,rrach_count,rrach_per_kb,aaach_count,aaach_per_kb,utr5_length,utr3_length,cds_length,utr3_au_content,utr3_estimated,cds_protein_mismatch,long_3utr,ptc_proxy,mfe,mfe_per_nt,ensemble_fe,frac_paired,n_stemloops,rnafold_status,n_stemloops_per_kb,utr5_fraction,utr3_fraction,cds_fraction
AT1G01230,AT1G01230.1,0,depleted,False,0.2876712328767123,0.3116438356164384,0.2031963470319634,0.1974885844748858,0.5993150684931506,0.4006849315068493,876,0.104,0.0811428571428571,0.048,0.0537142857142857,0.056,0.1085714285714285,0.0765714285714285,0.0708571428571428,0.064,0.0628571428571428,0.0457142857142857,0.0308571428571428,0.064,0.0594285714285714,0.0331428571428571,0.0411428571428571,11,12.557077625570775,3,3.4246575342465757,208,194,471,0.6753,False,3,0,0,-213.3,-0.2434931506849315,,0.6324,11.0,computed,12.557077625570777,0.2374429223744292,0.22146118721461186,0.5376712328767124
AT1G01300,AT1G01300.1,1,NS,False,0.2521823472356935,0.2900096993210475,0.1998060135790494,0.2580019398642095,0.542192046556741,0.457807953443259,2062,0.0829694323144104,0.0645317806889859,0.0431829209121785,0.0616205725376031,0.054342552159146,0.0994662785055798,0.0417273168364871,0.0946142649199417,0.0655021834061135,0.0528869480834546,0.0431829209121785,0.0383309073265405,0.049490538573508,0.0727802037845705,0.0718098010674429,0.0635613779718583,22,10.66925315227934,9,4.364694471387003,281,323,1455,0.6811,False,3,0,0,-560.9,-0.2720174587778855,,0.5635,40.0,computed,19.398642095053347,0.13627546071774976,0.15664403491755577,0.7056256062075654
AT1G01450,AT1G01450.1,0,depleted,False,0.2993630573248407,0.2781316348195329,0.2370842179759377,0.1854210898796886,0.5774946921443737,0.4225053078556263,1413,0.0956090651558073,0.0807365439093484,0.0821529745042493,0.0410764872521246,0.0552407932011331,0.0899433427762039,0.070113314447592,0.0630311614730878,0.0856940509915014,0.0474504249291784,0.0630311614730878,0.0403682719546742,0.0623229461756373,0.0601983002832861,0.0219546742209631,0.0410764872521246,18,12.738853503184712,8,5.661712668082095,0,282,1410,0.6064,True,3,0,0,-392.6,-0.2778485491861288,,0.6384,21.0,computed,14.8619957537155,0.0,0.19957537154989385,0.9978768577494692
AT1G01470,AT1G01470.1,0,depleted,False,0.3152818991097922,0.2959940652818991,0.1913946587537092,0.1973293768545994,0.6112759643916914,0.3887240356083086,1348,0.1180400890868596,0.0883444691907943,0.0527097253155159,0.0564216778025241,0.066815144766147,0.0994803266518188,0.0616184112843355,0.0682999257609502,0.0712694877505567,0.0534521158129175,0.0415738678544914,0.0252412769116555,0.058648849294729,0.0549368968077208,0.0356347438752783,0.0475129918337045,26,19.287833827893174,15,11.12759643916914,122,770,453,0.6519,False,3,0,0,-310.0,-0.2299703264094955,,0.5772,22.0,computed,16.32047477744807,0.09050445103857567,0.5712166172106825,0.336053412462908
AT1G01510,AT1G01510.1,1,HS,False,0.2692453545695866,0.2779673871824042,0.2434584755403868,0.2093287827076222,0.5472127417519909,0.4527872582480091,2637,0.0815629742033384,0.0656297420333839,0.0728376327769347,0.0493171471927162,0.0512139605462822,0.0789074355083459,0.0785280728376327,0.0690440060698027,0.0766312594840667,0.0709408194233687,0.0455235204855842,0.0504552352048558,0.0599393019726858,0.0622154779969651,0.0466616084977238,0.0405918057663125,23,8.722032612817596,11,4.171406901782328,90,636,1908,0.6132,False,3,0,0,-776.04,-0.2942889647326507,,0.6234,46.0,computed,17.444065225635192,0.034129692832764506,0.24118316268486917,0.7235494880546075
AT1G01730,AT1G01730.1,0,depleted,False,0.2781954887218045,0.2823725981620718,0.2063492063492063,0.2330827067669172,0.5605680868838764,0.4394319131161236,1197,0.0861204013377926,0.0660535117056856,0.0677257525083612,0.0585284280936454,0.0518394648829431,0.0894648829431438,0.0627090301003344,0.0785953177257525,0.0769230769230769,0.0434782608695652,0.0384615384615384,0.0476588628762541,0.0635451505016722,0.0827759197324414,0.0376254180602006,0.0484949832775919,14,11.695906432748538,7,5.847953216374269,205,317,672,0.6562,False,3,0,0,-316.4,-0.2643274853801169,,0.5982,26.0,computed,21.72096908939014,0.17126148705096073,0.264828738512949,0.5614035087719298
AT1G01910,AT1G01910.2,1,HS,False,0.2854710556186152,0.2996594778660613,0.2258796821793416,0.1889897843359818,0.5851305334846765,0.4148694665153234,1762,0.0908574673480976,0.0721181147075525,0.0681431005110732,0.0545144804088586,0.0562180579216354,0.1056218057921635,0.0749574105621805,0.0630323679727427,0.080068143100511,0.0533787620670073,0.0499716070414537,0.0420215786484951,0.0584894946053378,0.0681431005110732,0.0329358319136854,0.0295286768881317,29,16.458569807037456,9,5.10783200908059,259,441,1059,0.6621,False,3,0,0,-458.9,-0.2604426787741203,,0.6141,32.0,computed,18.161180476730987,0.14699205448354144,0.25028376844494893,0.6010215664018161
AT1G02100,AT1G02100.1,1,HS,False,0.2753319357092942,0.2955974842767295,0.246680642907058,0.1823899371069182,0.5709294199860238,0.4290705800139762,1431,0.086013986013986,0.0783216783216783,0.0671328671328671,0.044055944055944,0.0489510489510489,0.1006993006993007,0.0874125874125874,0.058041958041958,0.0846153846153846,0.0552447552447552,0.0608391608391608,0.0461538461538461,0.0559440559440559,0.0615384615384615,0.0314685314685314,0.0335664335664335,18,12.578616352201257,7,4.891684136967156,64,368,996,0.5788,False,3,0,0,-391.6,-0.273654786862334,,0.6611,24.0,computed,16.771488469601678,0.04472396925227114,0.25716282320055905,0.6960167714884696
AT1G02130,AT1G02130.1,0,depleted,False,0.2846846846846846,0.309009009009009,0.1927927927927928,0.2135135135135135,0.5936936936936937,0.4063063063063063,1110,0.0946798917944093,0.078449053201082,0.0568079350766456,0.0550045085662759,0.0532010820559062,0.1064021641118124,0.0721370604147881,0.0766456266907123,0.0685302073940486,0.0441839495040577,0.0396753832281334,0.0405770964833183,0.0685302073940486,0.0802524797114517,0.0243462578899909,0.0405770964833183,18,16.216216216216214,9,8.108108108108107,131,367,609,0.6403,False,3,0,0,-267.6,-0.2410810810810811,,0.6,18.0,computed,16.216216216216214,0.11801801801801802,0.33063063063063064,0.5486486486486486
AT1G02500,AT1G02500.1,1,HS,False,0.2860411899313501,0.2625858123569794,0.2179633867276887,0.2334096109839817,0.5486270022883295,0.4513729977116705,1748,0.0898683457355466,0.0595306239267315,0.0646823125357756,0.072123640526617,0.0446479679450486,0.0767029192902118,0.0767029192902118,0.0646823125357756,0.0749856897538637,0.0578133943903835,0.046937607326846,0.0383514596451059,0.0767029192902118,0.0681167716084716,0.0297653119633657,0.0583858042358328,31,17.734553775743706,12,6.864988558352403,289,277,1179,0.704,False,3,0,0,-490.7,-0.280720823798627,,0.5927,29.0,computed,16.590389016018307,0.16533180778032036,0.15846681922196795,0.6744851258581236
